#{"t_start": 1665404778.9906166, "env_id": null}
r,l,t
298.795522,866,4.026595
299.073128,863,4.932058
301.700002,891,5.866821
299.448116,900,6.809274
298.776836,900,7.747703
299.210732,894,8.690213
298.564094,885,9.631669
299.210261,876,10.532024
297.71006,896,11.488141
300.39151,881,12.449361
298.822795,874,13.40592
300.004365,876,14.336376
297.69606,901,15.285119
299.061898,897,16.262386
300.31631,893,17.218045
293.767533,908,18.290698
298.776847,895,19.286063
298.300052,909,20.201109
299.399658,880,21.137936
297.585461,900,22.096238
298.994057,876,23.008224
298.878639,916,23.906209
298.903904,894,24.919895
297.612328,908,25.905789
299.056746,894,26.769884
299.937893,893,27.675958
299.43225,889,28.639912
298.040028,880,29.654682
298.771484,870,30.580173
298.763315,886,31.500196
300.803594,880,32.463072
299.521009,873,33.293348
298.442382,873,34.12313
301.22151,886,34.969516
299.568028,888,35.829411
297.452879,901,36.740208
298.345401,899,37.624882
299.096403,892,38.480757
299.411396,913,39.34715
300.450075,896,40.198367
298.421592,903,41.046513
299.706164,880,41.922275
299.349841,894,42.78226
300.934897,900,43.642339
299.342241,882,44.471855
300.239513,886,45.321522
299.393115,881,46.159354
298.248553,878,46.996211
296.780838,896,47.855445
299.43173,868,48.677551
299.411644,890,49.520814
299.376641,898,50.384875
299.269263,887,51.233549
299.60332,894,52.082105
299.265463,896,52.942474
298.273719,893,53.824981
297.757688,882,54.67537
299.641375,883,55.656638
299.04217,886,56.48421
298.798282,875,57.315303
298.880355,890,58.213568
296.891223,890,59.154137
299.424036,902,60.010984
301.030381,882,60.843069
298.695387,888,61.66802
298.079247,887,62.509271
299.748909,894,63.365004
298.868915,884,64.217603
297.885604,912,65.211571
103.745753,369,65.594184
299.038504,896,66.429085
300.031673,889,67.259772
299.161346,898,68.15748
298.848338,895,69.085849
297.694482,890,69.977658
299.48108,883,70.838671
298.754087,904,71.710639
299.600533,886,72.56047
299.475442,885,73.491928
299.05197,883,74.345361
298.000529,879,75.198338
298.580982,879,76.033999
297.125079,904,76.901972
298.484807,897,77.753289
298.691423,875,78.579894
299.963276,895,79.447124
299.668173,890,80.329633
299.751638,888,81.236395
300.052843,893,82.115821
298.256287,872,82.978054
297.798884,898,83.841073
298.683028,882,84.687826
299.96866,885,85.509364
297.013927,889,86.38272
298.937514,885,87.2631
299.425868,894,88.22331
300.091311,894,89.144444
296.67841,886,90.111657
299.678021,885,90.946167
299.155164,893,91.801242
299.746222,891,108.192947
