#{"t_start": 1665657962.7080138, "env_id": null}
r,l,t
-11.078832,51,3.374274
-11.550859,95,3.434982
-11.116181,60,3.473575
-11.287676,52,3.508094
-14.235122,117,3.582418
-6.956851,42,3.612155
-11.482521,75,3.659631
-8.165238,44,3.68885
-12.321848,69,3.733892
-15.616785,80,3.784228
0.442674,132,3.867201
-6.717594,165,3.979027
-12.214977,57,4.043497
-9.044556,139,4.13145
-5.283164,151,4.226475
-12.505963,97,4.287573
-14.277361,79,4.337977
-7.69291,46,4.368567
-9.493972,62,4.408455
-9.970602,86,4.462708
-11.812957,65,4.505021
-13.972055,100,4.567592
-7.307176,42,4.595387
-6.640584,42,4.623997
-13.090265,83,4.681975
-13.826028,75,4.728648
-10.099594,60,4.767419
-12.366932,55,4.802812
-7.124325,43,4.832281
-2.514131,206,4.960417
-8.18583,43,4.989011
-11.023282,56,5.024509
-15.81497,81,5.076155
-0.491676,116,5.148443
-15.718582,78,5.197336
-8.035105,45,5.226919
-12.717604,86,5.282025
-10.067417,108,5.352955
-13.27203,81,5.403733
-7.638076,41,5.431259
-13.583666,74,5.478703
-7.537501,41,5.506449
-10.171293,104,5.589975
-8.390956,91,5.649792
-12.410687,101,5.723424
-7.336593,122,5.807774
-10.970625,52,5.842522
-15.754413,86,5.897588
-12.266472,62,5.94132
-9.142009,50,5.974701
-12.899766,94,6.038197
-15.233356,74,6.08544
-12.25157,99,6.151779
-13.091721,86,6.221121
-8.039434,47,6.262485
-5.198792,36,6.29429
-8.644479,43,6.326239
-8.622347,97,6.400199
-12.943165,62,6.444496
-10.824803,93,6.509683
-7.558303,112,6.587245
-6.465077,39,6.616949
-9.782239,81,6.671132
-8.177562,47,6.703857
-9.298649,101,6.77387
-9.765959,90,6.833162
-11.405256,91,6.893242
-8.06271,47,6.926662
-9.538028,45,6.960339
-6.774537,42,6.991099
-15.894345,70,7.040323
-10.652918,97,7.106218
-8.043748,42,7.13748
-5.76123,37,7.163692
-14.188367,74,7.213759
-12.792464,93,7.278765
-13.962637,65,7.32676
-11.34948,88,7.396109
-6.608572,41,7.432469
-12.075076,98,7.501968
-5.913314,37,7.529952
-16.326185,73,7.580644
-10.495522,59,7.622995
-14.633573,82,7.68129
-6.912155,44,7.720409
-6.474026,40,7.755421
-13.732236,67,7.80935
-8.540272,46,7.843177
-7.762708,44,7.879891
-4.447834,154,7.983634
-13.551995,94,8.048568
-7.761058,41,8.077991
-10.688934,47,8.112491
-9.761011,83,8.171647
-13.287601,78,8.224103
-8.392053,41,8.257087
-9.187213,44,8.290927
-12.09104,99,8.357972
-12.902031,56,8.399939
-12.656837,88,8.464779
-8.775022,42,8.497669
